ticker,company,sector,esg_total,pred_Ridge,pred_RandomForest,pred_XGBoost,best_pred,inconsistency,inconsistency_z,inconsistency_quintile,log_market_cap,revenue,net_income,total_debt,ebitda,roe,roa,profit_margin,debt_equity,current_ratio,beta,pe_ratio,pb_ratio,employees,controversy
AIG,American International Group,Financials,34.19266438618447,33.389676122087245,31.196871559212347,29.567413,33.389676122087245,0.8029882640972232,0.18199572201812952,Q3,24.396068564654705,26610999296,3096000000,10046999552,7920000000.0,0.07399,0.0173,0.11634,24.408,0.622,0.58,13.434623,0.95433074,22100,3
AMT,American Tower,Real Estate,41.97639566957593,35.32153697723353,31.96923604903156,33.055473,35.32153697723353,6.654858692342401,1.1551510676813919,Q5 (most over-rated),25.09726308701592,10644599808,2529499904,44963901440,6907700224.0,0.2628,0.04895,0.23763001,434.211,0.397,0.907,31.334568,21.641771,4866,3
AWK,American Water Works,Utilities,32.0849260180473,27.786618175359973,29.396626241230454,28.83948,27.786618175359973,4.298307842687326,0.7632609729178211,Q4,24.008904037952608,5139999744,1111000064,15928999936,2788999936.0,0.10496,0.0347,0.21615,146.987,0.462,0.759,24.052725,2.4648802,7000,3
AMP,Ameriprise Financial,Financials,44.84988560522277,33.26541808802085,31.506428286981603,31.98881,33.26541808802085,11.584467517201915,1.9749359960669994,Q5 (most over-rated),24.426594003856746,18911000576,3563000064,3772000000,3426499968.0,0.60508,0.02266,0.18841,57.597,2.29,1.271,12.033334,6.0871806,13600,0
AME,Ametek,Industrials,19.561509901692308,23.745141247794937,26.47338531255202,26.500832,23.745141247794937,-4.183631346102629,-0.6472699956629187,Q2,24.593000172812104,7401116160,1480141952,2571507968,2358420992.0,0.14594,0.07882,0.19999,24.194,1.062,1.013,32.69375,4.5089,22500,3
AMGN,Amgen,Health Care,21.426543625570776,23.83697092172975,26.159238641709415,26.73712,23.83697092172975,-2.410427296158975,-0.3523894064028662,Q2,25.95976423801348,36750999552,7711000064,55435001856,16616999936.0,1.0610299,0.07931,0.20982,640.275,1.14,0.425,24.509487,21.704523,31500,3
APH,Amphenol,Information Technology,22.11736363051273,26.035394740845426,29.03412831275486,27.037102,26.035394740845426,-3.918031110332695,-0.6031011623952889,Q2,25.746853909139013,23094700032,4270299904,16067699712,6970800128.0,0.36851,0.13108,0.1849,118.935,2.979,1.214,37.01198,11.304984,170000,2
ADI,Analog Devices,Information Technology,30.69587653545297,26.128837607695772,28.727301949859502,30.107012,26.128837607695772,4.567038927757199,0.807950460695844,Q4,25.73452424566642,11756795904,2706852096,8701080576,5459077120.0,0.07862,0.0454,0.23024,25.753,1.756,1.021,56.204758,4.442325,24500,3
AON,Aon plc,Financials,38.77383375632535,31.597046062963923,31.58689401193344,32.562214,31.597046062963923,7.17678769336143,1.2419469056320733,Q5 (most over-rated),24.9341570631286,17180999680,3695000064,16071000064,5664000000.0,0.4694,0.058870003,0.21506001,168.318,1.11,0.828,18.418085,7.194202,60000,3
APA,APA Corporation,Energy,46.31631525407075,43.20128840918626,35.00280150371014,36.116695,43.20128840918626,3.1150268448844898,0.566483507908416,Q4,23.475705009639448,8684999680,1434000000,4809999872,5145999872.0,0.2532,0.08963,0.16510999,68.685,0.825,0.708,11.125313,2.5715444,1791,1
APO,Apollo Global Management,Financials,26.959061138224836,34.304963510850015,35.024580675003584,36.424786,34.304963510850015,-7.345902372625179,-1.173149881697801,Q1 (most under-rated),24.86527955734068,31793000448,3503000064,42289000448,3426499968.0,0.14698,0.01288,0.109840006,99.468,1.659,1.638,19.570396,2.8607616,6140,0
AAPL,Apple Inc.,Information Technology,22.053112705852563,38.35203283422965,27.873930741286873,33.295036,38.35203283422965,-16.298920128377084,-2.6620203540812386,Q1 (most under-rated),28.92762161006072,435617005568,117776998400,90509000704,152901992448.0,1.5202099,0.24377,0.27037,102.63,0.974,1.116,31.453857,41.48049,150000,1
AMAT,Applied Materials,Information Technology,30.903556726948207,26.741182506019506,28.454766612514078,28.39876,26.741182506019506,4.162374220928701,0.7406554603228606,Q4,26.31268980554553,28213999616,7839000064,7190000128,8888999936.0,0.38863,0.14849,0.27784002,33.108,2.715,1.634,34.617046,12.321214,35500,0
APP,AppLovin,Information Technology,31.459525027220653,19.04038374662578,28.8712926725357,28.74982,19.04038374662578,12.419141280594875,2.1137407158041572,Q5 (most over-rated),25.581747565343644,5480716800,3432717056,3667394048,4275017984.0,2.12945,0.3953,0.60827,171.801,3.322,2.505,38.005985,60.41205,876,0
APTV,Aptiv,Consumer Discretionary,40.25892560983117,32.80392744370385,34.76891866889702,36.9463,32.80392744370385,7.454998166127318,1.2882127982405014,Q5 (most over-rated),23.382755520468397,20398000128,165000000,8094000128,3190000128.0,0.01948,0.059070002,0.008090001,85.209,1.736,1.534,89.386665,1.5490907,140000,0
ACGL,Arch Capital Group,Financials,28.006941756267835,33.29354870368779,36.90100407024244,38.385056,33.29354870368779,-5.286606947419955,-0.8306928201631497,Q2,24.22831278728069,19928999936,4359000064,2884999936,5522999808.0,0.19540001,0.04437,0.22073,11.919,1.077,0.365,8.053448,1.4290739,8000,2
ADM,Archer Daniels Midland,Consumer Staples,45.89296793840032,40.67360231157956,36.61388694740214,44.228725,40.67360231157956,5.21936562682076,0.9164311972563319,Q5 (most over-rated),24.27309250389518,80269000704,1078000000,9758000128,2520999936.0,0.04721,0.01706,0.01343,42.376,1.365,0.683,32.390137,1.5251267,40798,2
ARES,Ares Management,Financials,32.70011485484437,32.3405636501891,31.670298386999697,31.372105,32.3405636501891,0.35955120465527557,0.10825295034323877,Q3,24.28346245340169,5601482240,468681984,14222266368,1241067008.0,0.13520001,0.023359999,0.09415,163.448,0.472,1.565,62.152046,8.378399,3967,2
ANET,Arista Networks,Information Technology,28.31213158037408,27.09200639594406,28.87508364553941,30.264555,27.09200639594406,1.2201251844300174,0.25136482867777565,Q3,25.74769789913948,9005700096,3511399936,90500000,3928699904.0,0.314,0.14392,0.38991,0.732,3.048,1.46,43.916363,12.26714,5115,2
AJG,Arthur J. Gallagher & Co.,Financials,37.228572667689136,32.391908566655104,28.845719579195425,28.180174,32.391908566655104,4.836664101034032,0.8527886337068646,Q4,24.698177465578773,13009000448,1494000000,13624000512,3479000064.0,0.06906,0.022449998,0.11484,58.354,1.056,0.672,36.080143,2.28227,72000,2
AIZ,Assurant,Financials,33.34157329264809,33.15792528650664,36.3456237460445,37.85404,33.15792528650664,0.18364800614145338,0.07900057026203372,Q3,23.091760382921382,12814300160,865000000,2280800000,1475699968.0,0.15899,0.02149,0.0681,38.845,0.405,0.547,12.597755,1.8086839,14800,2
T,AT&T,Communication Services,46.07348137843137,31.539312987403367,33.02342333208778,34.1492,31.539312987403367,14.534168391028,2.4654658546257857,Q5 (most over-rated),26.039996573199424,125648003072,21888999424,159560007680,44243001344.0,0.18805,0.040749997,0.17472,124.179,0.906,0.576,9.572369,1.8527951,133030,0
ATO,Atmos Energy,Utilities,29.905474416933348,32.20297302870125,36.87490707611311,34.374557,32.20297302870125,-2.297498611767903,-0.3336095728024072,Q2,24.13463665011749,4869341184,1249393024,9632877568,2391588096.0,0.09237,0.03648,0.25667998,67.443,1.13,0.698,23.852865,2.1218264,5487,3
ADSK,Autodesk,Information Technology,28.734716392139905,25.21144652390539,25.64826852351708,26.073511,25.21144652390539,3.5232698682345145,0.6343735757720586,Q4,24.60948019476872,7206000128,1124000000,2734000128,1906000000.0,0.39675,0.096999995,0.15597999,89.787,0.851,1.467,43.8626,16.002228,14300,1
ADP,Automatic Data Processing,Industrials,25.78772935503124,26.724154431766856,27.961968817516993,28.386063,26.724154431766856,-0.9364250767356168,-0.10726553414011296,Q3,25.12258349886053,21214300160,4235300096,4477899776,6188499968.0,0.73843,0.04709,0.19964,70.044,1.032,0.854,19.350962,12.685955,67000,0
AZO,AutoZone,Consumer Discretionary,28.257065080866,36.57519226219131,31.540082271656853,31.642931,36.57519226219131,-8.318127181325309,-1.3348290886068117,Q1 (most under-rated),24.72970156765975,19609792512,2445073920,12843607040,4190842880.0,0.15298499999999998,0.114930004,0.124689996,83.578,0.89,0.355,23.255575,-18.83574,78000,3
AVB,AvalonBay Communities,Real Estate,37.5819727018562,39.74352222492328,34.43844033048473,36.13772,39.74352222492328,-2.1615495230670803,-0.31100148808325734,Q2,23.848704584641737,3041189120,1049326976,9497797632,1846987008.0,0.088879995,0.02702,0.34569,80.256,0.406,0.745,21.731081,1.9377267,3011,2
AVY,Avery Dennison,Materials,31.67776407424323,32.21548193845714,31.743693798369726,31.597694,32.21548193845714,-0.53771786421391,-0.0409612541705461,Q3,23.280891456575667,8855499776,688000000,3953600000,1418899968.0,0.30212998,0.082159996,0.07769,176.335,1.127,0.97,19.087599,5.7527857,35000,0
AXON,Axon Enterprise,Industrials,18.16673291053995,28.54902860041809,27.386892148859406,26.302595,28.54902860041809,-10.382295689878141,-1.6780965349864003,Q1 (most under-rated),24.266141490838617,2779535872,124656000,1916653952,53508000.0,0.04476,-0.0032300001,0.044850003,59.107,2.526,1.524,286.62668,10.635235,5100,0
BKR,Baker Hughes,Energy,45.349146492639896,42.177666289730674,29.90175290124693,30.66742,42.177666289730674,3.1714802029092226,0.5758715980611375,Q4,24.858053323066574,27733000192,2588000000,6702000128,4695000064.0,0.14552,0.05538,0.09332,35.255,1.357,0.879,24.315386,3.3123755,56000,0
BALL,Ball Corporation,Materials,43.46964786740638,33.128892994297864,31.326842292870467,32.531876,33.128892994297864,10.340754873108516,1.768108858844922,Q5 (most over-rated),23.48168540110304,13160999936,912000000,7374000128,2012000000.0,0.16122,0.04677,0.069299996,136.027,1.114,1.115,17.960606,2.9014099,16000,1
BAC,Bank of America,Financials,26.80501330584054,35.342959183237916,34.27577775596444,36.040516,35.342959183237916,-8.537945877397377,-1.3713845355843706,Q1 (most under-rated),26.543612157368205,107421999104,29055000576,767072010240,3426499968.0,0.10217,0.00914,0.28401,83.578,1.199,1.263,12.328085,1.2218724,213000,0
BAX,Baxter International,Health Care,30.309670127548884,24.948132304441213,29.33911563720646,33.74846,24.948132304441213,5.361537823107671,0.9400741733812806,Q5 (most over-rated),22.83281854091025,11244000256,-900000000,9779999744,2018000000.0,-0.13713,0.028280001,-0.085109994,160.275,2.314,0.553,24.5092985,1.3399899,37500,2
BDX,Becton Dickinson,Health Care,14.40278137030517,25.440094640625098,26.663067960743614,23.6085,25.440094640625098,-11.037313270319927,-1.7870247601968636,Q1 (most under-rated),24.748228405126056,21923999744,1756999936,19538999296,6041999872.0,0.0696,0.04079,0.08014,77.284,1.049,0.307,25.24673,1.740193,70000,2
BRK-B,Berkshire Hathaway,Financials,29.99068982008535,42.94429432298334,33.087112758300876,34.83811,42.94429432298334,-12.953604502897988,-2.1057004861373985,Q1 (most under-rated),27.64143911176188,371443990528,66967998464,135370997760,110593998848.0,0.09809,0.051090002,0.18029,18.809,7.067,0.688,15.083387,0.0009394922,387800,3
BBY,Best Buy,Consumer Discretionary,37.976518390630034,36.61464517723724,36.514368928677236,33.61551,36.61464517723724,1.3618732133927907,0.2749372665527748,Q4,23.30321902936527,41691000832,1069000000,4134000128,2601999872.0,0.37041,0.07516,0.02564,139.474,1.107,1.444,12.496032,4.443033,82000,2
TECH,Bio-Techne,Health Care,28.01733398815567,23.115222694974,24.76222478277104,22.75168,23.115222694974,4.902111293181669,0.8636723820191496,Q5 (most over-rated),22.799112894200466,1215577984,81060000,350895008,330536992.0,0.03966,0.06518,0.06672,17.449,4.539,1.475,96.13208,3.9493062,3100,2
BIIB,Biogen,Health Care,28.76735947875713,22.45357106599458,22.697505931064324,22.597643,22.45357106599458,6.313788412762548,1.0984317042078007,Q5 (most over-rated),24.018364942279657,9890599936,1292899968,6657600000,3603699968.0,0.07394,0.0614,0.13071999,36.466,2.679,0.145,20.914675,1.4782294,7500,2
BLK,BlackRock,Financials,36.76008341119955,34.546667754104945,32.32955574201434,33.1438,34.546667754104945,2.2134156570946075,0.41654721696243907,Q4,25.70173921489568,24216000512,5552999936,14995999744,9685999616.0,0.107159995,0.03467,0.22930999,24.367,2.039,1.487,26.454674,2.5910983,24900,0
